osm_id,highway,lanes,maxspeed,name,oneway,WKT
9131196557,nan,,,,,POINT (-77.0749149 -12.0018676)
9131196558,nan,,,,,POINT (-77.0752153 -12.0022205)
9131231210,nan,,,,,POINT (-77.0739265 -11.9637555)
9131231211,nan,,,,,POINT (-77.0741174 -11.9641828)
9131690128,nan,,,,,POINT (-77.0759178 -11.9685741)
9131692606,nan,,,,,POINT (-77.0756006 -11.9684464)
9133772558,nan,,,,,POINT (-77.0805134 -11.9581651)
9133774917,nan,,,,,POINT (-77.0799859 -11.9584313)
9133866029,nan,,,,,POINT (-77.0818817 -11.9526238)
9133868224,nan,,,,,POINT (-77.0819497 -11.9522014)
9147291441,nan,,,,,POINT (-77.0835646 -11.9358981)
9147326936,nan,,,,,POINT (-77.0839754 -11.9356056)
9189225814,nan,,,,,POINT (-77.0745169 -11.9692554)
9189228623,nan,,,,,POINT (-77.074636 -11.969735)
9189559718,nan,,,,,POINT (-77.0762038 -11.984095)
9191679384,nan,,,,,POINT (-77.0768288 -11.9843184)
9407778455,nan,,,,,POINT (-77.0719679 -11.9492146)
9407778647,nan,,,,,POINT (-77.072976 -11.949454)
9407778648,nan,,,,,POINT (-77.0728862 -11.9500676)
9407782162,nan,,,,,POINT (-77.0733333 -11.9494078)
9407782163,nan,,,,,POINT (-77.0732232 -11.9501139)
9407936950,nan,,,,,POINT (-77.0797927 -11.9795675)
9407936951,nan,,,,,POINT (-77.0786742 -11.9796278)
9464630289,nan,,,,,POINT (-77.0772398 -11.973076)
9690739220,nan,,,,,POINT (-77.0770526 -11.9970427)
9765229208,nan,,,,,POINT (-77.0729826 -11.9250467)
9765229209,nan,,,,,POINT (-77.0729753 -11.9251205)
9765247768,nan,,,,,POINT (-77.0724934 -11.9304832)
9993838756,nan,,,,,POINT (-77.0635961 -11.9771047)
9993902705,nan,,,,,POINT (-77.0830981 -12.0025313)
9993902706,nan,,,,,POINT (-77.0825964 -12.0023541)
9995453545,nan,,,,,POINT (-77.0747828 -11.9985765)
9995453547,nan,,,,,POINT (-77.0750021 -11.999045)
10004683364,nan,,,,,POINT (-77.0670312 -11.9975833)
10006883473,nan,,,,,POINT (-77.073176 -11.9845547)
10039994001,nan,,,,,POINT (-77.0826885 -12.0049534)
10039994002,nan,,,,,POINT (-77.0825122 -12.0051015)
10056826389,nan,,,,,POINT (-77.0827544 -11.9708804)
10056826391,nan,,,,,POINT (-77.0758483 -11.9695498)
10056906083,nan,,,,,POINT (-77.0744656 -11.969273)
10056906084,nan,,,,,POINT (-77.0745501 -11.9697571)
10056906089,nan,,,,,POINT (-77.0778996 -11.9735568)
0,primary,2,50,Avenida Tomás Valle,yes,"LINESTRING (-77.0623032 -12.0085351, -77.0634627 -12.0087417)"
1,primary,2,60,Avenida Angélica Gamarra,yes,"LINESTRING (-77.0622424 -12.0041588, -77.0630915 -12.0045599)"
10,primary,2,50,Avenida Universitaria,yes,"LINESTRING (-77.0822932 -12.0066921, -77.0823271 -12.0065383)"
100,residential,2,nan,Emilio de Los Rios,nan,"LINESTRING (-77.0689016 -11.9660115, -77.0682923 -11.9659107)"
1000,residential,nan,nan,La Perla,nan,"LINESTRING (-77.0773823 -11.9857171, -77.0777441 -11.9855192)"
1001,residential,nan,nan,Calle Las Turquesas,nan,"LINESTRING (-77.0773823 -11.9857171, -77.0769548 -11.9849861)"
1002,residential,nan,nan,Granadas,nan,"LINESTRING (-77.0769548 -11.9849861, -77.0774237 -11.98493)"
1003,residential,nan,nan,Calle Las Turquesas,nan,"LINESTRING (-77.0769548 -11.9849861, -77.0767664 -11.9843277)"
1004,residential,nan,nan,Los Melones,nan,"LINESTRING (-77.0767664 -11.9843277, -77.0763542 -11.9843685)"
1005,residential,nan,nan,Calle Onix,nan,"LINESTRING (-77.0764279 -11.9850693, -77.0763542 -11.9843685)"
1006,residential,nan,nan,Granadas,nan,"LINESTRING (-77.0764279 -11.9850693, -77.0769548 -11.9849861)"
1007,residential,nan,nan,Calle Onix,nan,"LINESTRING (-77.0763542 -11.9843685, -77.076335 -11.9840852)"
1008,residential,nan,nan,Los Melones,nan,"LINESTRING (-77.0763542 -11.9843685, -77.0758613 -11.9844139)"
1009,residential,nan,nan,nan,nan,"LINESTRING (-77.076335 -11.9840852, -77.0762038 -11.984095)"
101,residential,nan,nan,Arel Sila,nan,"LINESTRING (-77.0689016 -11.9660115, -77.0695889 -11.9644134)"
1010,residential,nan,nan,Gerandios,nan,"LINESTRING (-77.0775969 -11.9861514, -77.0779827 -11.985958)"
1011,residential,nan,nan,Calle Las Alejandrinas,nan,"LINESTRING (-77.0775969 -11.9861514, -77.0781034 -11.9870956)"
1012,residential,nan,nan,Los Rubies,nan,"LINESTRING (-77.0781034 -11.9870956, -77.0784986 -11.9869071)"
1013,residential,nan,nan,Las Azucenas,nan,"LINESTRING (-77.0752067 -11.9863436, -77.0752308 -11.9867097)"
1014,residential,nan,nan,Los Pinos,nan,"LINESTRING (-77.0752067 -11.9863436, -77.0761052 -11.9862895)"
1015,residential,nan,nan,Las Orquídes,nan,"LINESTRING (-77.0742777 -11.9859212, -77.0747429 -11.9858955)"
1016,residential,nan,nan,Jirón Los Girasoles,nan,"LINESTRING (-77.0742777 -11.9859212, -77.0741093 -11.9847778)"
1017,residential,nan,nan,Los Melones,nan,"LINESTRING (-77.0741093 -11.9847778, -77.0745899 -11.9847144)"
1018,residential,nan,nan,Las Orquídes,nan,"LINESTRING (-77.0737762 -11.9859492, -77.0742777 -11.9859212)"
1019,residential,nan,nan,Los Ciruelos,nan,"LINESTRING (-77.0737762 -11.9859492, -77.0737378 -11.9855581)"
102,residential,2,nan,Emilio de Los Rios,nan,"LINESTRING (-77.0693074 -11.9661115, -77.0689016 -11.9660115)"
1020,residential,nan,nan,"['Los Ciruelos', 'Los Melones']",nan,"LINESTRING (-77.0737378 -11.9855581, -77.0741093 -11.9847778)"
1021,residential,nan,nan,nan,nan,"LINESTRING (-77.0737378 -11.9855581, -77.0730811 -11.9855664)"
1022,residential,nan,nan,Las Orquídes,nan,"LINESTRING (-77.0747429 -11.9858955, -77.0751657 -11.9858735)"
1023,tertiary,2,40,El Amargon,no,"LINESTRING (-77.0747429 -11.9858955, -77.074765 -11.986368)"
1024,residential,nan,nan,Las Orquídes,nan,"LINESTRING (-77.0751657 -11.9858735, -77.0757997 -11.9858412)"
1025,residential,nan,nan,Las Margaritas,nan,"LINESTRING (-77.0751657 -11.9858735, -77.0750955 -11.9853288)"
1026,residential,nan,nan,Calle 13,nan,"LINESTRING (-77.0757997 -11.9858412, -77.0755277 -11.9852427)"
1027,residential,nan,nan,Calle 13,nan,"LINESTRING (-77.0763772 -11.986646, -77.0761052 -11.9862895)"
1028,residential,nan,nan,Gerandios,nan,"LINESTRING (-77.0763772 -11.986646, -77.0767501 -11.9865458)"
1029,residential,nan,nan,Calle 13,nan,"LINESTRING (-77.0761052 -11.9862895, -77.0757997 -11.9858412)"
103,residential,2,nan,Blondell,nan,"LINESTRING (-77.0702249 -11.9670561, -77.0705806 -11.9666609)"
1030,residential,nan,nan,Granadas,nan,"LINESTRING (-77.0755277 -11.9852427, -77.0759834 -11.9851519)"
1031,residential,nan,nan,Los Pinos,nan,"LINESTRING (-77.0730018 -11.9863985, -77.0738027 -11.9864164)"
1032,residential,nan,nan,"['Los Helenios', 'Las Orquídes']",nan,"LINESTRING (-77.0730018 -11.9863985, -77.0737762 -11.9859492)"
1033,residential,nan,nan,Los Pinos,nan,"LINESTRING (-77.074765 -11.986368, -77.0752067 -11.9863436)"
1034,tertiary,2,40,El Amargon,no,"LINESTRING (-77.074765 -11.986368, -77.0747932 -11.9869339)"
1035,residential,nan,nan,El Cuarzo,nan,"LINESTRING (-77.0758613 -11.9844139, -77.0759834 -11.9851519)"
1036,tertiary,2,40,El Amargon,no,"LINESTRING (-77.074641 -11.9851767, -77.0747429 -11.9858955)"
1037,tertiary,2,40,El Amargon,no,"LINESTRING (-77.0745899 -11.9847144, -77.074641 -11.9851767)"
1038,tertiary,2,40,El Amargon,no,"LINESTRING (-77.0745711 -11.9845155, -77.0745899 -11.9847144)"
1039,tertiary,2,40,El Amargon,no,"LINESTRING (-77.0744882 -11.983751, -77.0745711 -11.9845155)"
104,secondary,2,40,Avenida Las Palmeras,yes,"LINESTRING (-77.0702249 -11.9670561, -77.0706419 -11.9673157)"
1040,tertiary,2,40,Avenida Los Alisos,yes,"LINESTRING (-77.0744882 -11.983751, -77.0737199 -11.9838238)"
1041,residential,nan,nan,nan,nan,"LINESTRING (-77.0750587 -11.985132, -77.074641 -11.9851767)"
